Manhattan_Steps,Manhattan_Time(s),AStar_Steps,AStar_Time(s),Price_Steps,Price_Time(s)
5,1.56e-04,5,1.42e-04,5,1.42e-04
6,1.54e-04,6,1.69e-04,6,1.73e-04
7,1.75e-04,7,1.87e-04,7,1.93e-04
8,2.13e-04,8,2.37e-04,8,2.40e-04
10,2.46e-04,10,4.29e-04,10,6.20e-04
10,2.36e-04,10,3.08e-04,10,3.12e-04
10,2.21e-04,10,4.22e-04,10,6.00e-04
12,2.79e-04,12,6.55e-04,12,8.70e-04
12,2.78e-04,12,6.99e-04,12,9.29e-04
12,2.72e-04,12,7.66e-04,12,1.36e-03
13,3.15e-04,13,7.04e-04,13,7.26e-04
13,2.83e-04,13,3.72e-04,13,4.11e-04
13,3.36e-04,13,6.56e-04,13,7.77e-04
13,3.13e-04,13,6.84e-04,13,6.98e-04
14,4.28e-04,14,7.28e-04,14,5.87e-04
14,2.19e-03,14,1.31e-02,14,3.01e-03
15,3.33e-04,15,9.92e-04,15,1.05e-03
15,6.11e-04,13,2.26e-03,13,1.59e-03
15,3.45e-04,15,4.70e-04,15,4.76e-04
15,3.29e-04,15,4.41e-04,15,4.52e-04
15,3.48e-04,15,6.12e-04,15,1.31e-03
16,4.04e-04,16,2.83e-03,16,1.64e-03
17,5.52e-04,17,7.12e-03,19,5.66e-03
17,7.64e-04,17,5.47e-03,21,2.23e-02
18,4.00e-04,18,3.48e-03,18,5.30e-03
18,4.05e-04,18,1.86e-03,18,1.89e-03
18,6.30e-04,18,7.33e-03,22,1.86e-02
19,4.22e-04,19,1.82e-03,19,2.38e-03
19,3.62e-04,19,1.32e-03,19,8.38e-04
20,7.53e-04,16,4.63e-03,16,1.14e-02
20,6.68e-04,20,1.59e-02,24,3.87e-02
20,6.65e-04,16,1.80e-03,16,1.55e-03
20,5.03e-04,18,5.29e-03,20,1.20e-02
21,8.39e-04,15,2.82e-03,15,1.12e-02
21,2.34e-03,13,9.75e-04,13,6.63e-04
22,7.61e-04,14,1.98e-03,14,3.80e-03
22,6.64e-04,18,8.95e-03,18,4.77e-03
22,2.21e-03,22,4.26e-02,22,1.35e-02
22,8.33e-04,18,5.34e-03,18,3.07e-03
22,6.56e-04,18,8.28e-03,22,1.20e-02
23,8.08e-04,17,5.07e-03,17,6.27e-03
23,7.17e-04,21,1.34e-02,21,2.35e-02
23,2.54e-03,17,3.89e-03,17,3.61e-03
24,7.73e-04,18,3.81e-03,18,4.99e-03
24,4.81e-04,24,5.58e-02,24,1.40e-02
