State,AStar_PathLength,AStar_MoveSum,Price_PathLength,Price_MoveSum,Difference
"[[2, 5, 3], [7, 1, 6], [8, 4, 0]]",18,84,20,74,-2
"[[4, 1, 8], [3, 6, 2], [7, 5, 0]]",16,75,16,75,0
"[[1, 8, 4], [6, 3, 5], [7, 2, 0]]",22,101,22,101,0
"[[7, 8, 5], [1, 6, 0], [4, 3, 2]]",21,108,21,108,0
"[[6, 7, 5], [2, 4, 8], [0, 3, 1]]",26,106,26,106,0
"[[1, 4, 0], [6, 3, 2], [8, 5, 7]]",22,117,26,109,-4
"[[4, 5, 8], [1, 2, 0], [6, 3, 7]]",23,101,23,101,0
"[[8, 4, 2], [3, 0, 1], [5, 6, 7]]",26,124,30,120,-4
"[[6, 8, 0], [5, 1, 7], [3, 4, 2]]",24,114,24,114,0
"[[4, 0, 7], [2, 3, 1], [6, 8, 5]]",23,113,23,101,0
"[[6, 5, 8], [4, 2, 7], [0, 1, 3]]",24,107,24,107,0
"[[3, 6, 0], [1, 4, 2], [7, 5, 8]]",10,40,10,40,0
"[[3, 0, 2], [5, 1, 4], [6, 8, 7]]",27,117,27,115,0
"[[8, 2, 3], [0, 4, 7], [5, 1, 6]]",21,106,21,96,0
"[[5, 2, 6], [1, 0, 3], [4, 7, 8]]",14,61,14,61,0
"[[6, 0, 7], [8, 1, 4], [2, 5, 3]]",27,125,27,125,0
"[[4, 6, 7], [3, 1, 2], [0, 8, 5]]",26,115,26,115,0
"[[7, 6, 1], [4, 3, 2], [0, 5, 8]]",22,111,26,93,-4
"[[4, 2, 5], [7, 0, 6], [8, 3, 1]]",18,70,18,70,0
"[[0, 2, 3], [4, 1, 7], [6, 5, 8]]",22,106,22,100,0
"[[3, 2, 6], [5, 7, 1], [0, 4, 8]]",18,68,18,68,0
"[[6, 8, 3], [7, 4, 1], [5, 2, 0]]",28,112,28,112,0
"[[5, 4, 6], [1, 8, 3], [0, 2, 7]]",26,120,28,106,-2
"[[5, 6, 4], [8, 2, 3], [7, 0, 1]]",25,91,25,91,0
"[[7, 8, 5], [6, 2, 4], [3, 1, 0]]",28,127,30,117,-2
"[[5, 1, 8], [3, 4, 2], [7, 0, 6]]",21,84,21,84,0
"[[6, 8, 7], [5, 2, 1], [0, 4, 3]]",28,138,28,124,0
"[[4, 3, 6], [0, 2, 5], [1, 7, 8]]",15,59,15,59,0
"[[2, 8, 6], [1, 3, 0], [5, 4, 7]]",17,91,17,91,0
"[[2, 6, 5], [8, 7, 3], [1, 4, 0]]",20,103,20,103,0
"[[4, 0, 7], [6, 8, 5], [3, 2, 1]]",27,119,27,119,0
"[[3, 2, 8], [0, 4, 7], [6, 1, 5]]",25,110,25,110,0
"[[6, 7, 5], [0, 1, 2], [8, 3, 4]]",21,96,21,96,0
"[[3, 6, 0], [4, 1, 7], [8, 2, 5]]",22,93,22,93,0
"[[8, 0, 6], [2, 3, 1], [5, 7, 4]]",23,108,23,108,0
"[[3, 4, 6], [1, 8, 5], [7, 2, 0]]",14,64,14,64,0
"[[5, 4, 7], [0, 6, 2], [8, 3, 1]]",25,107,25,107,0
"[[3, 5, 8], [7, 1, 4], [0, 6, 2]]",18,80,18,80,0
"[[0, 7, 2], [3, 6, 5], [1, 8, 4]]",24,113,26,107,-2
"[[7, 6, 5], [1, 4, 2], [0, 8, 3]]",22,117,24,111,-2
"[[6, 1, 5], [3, 8, 7], [2, 4, 0]]",22,99,22,99,0
"[[1, 3, 7], [0, 4, 8], [2, 6, 5]]",21,105,21,105,0
"[[3, 1, 2], [4, 7, 0], [8, 5, 6]]",17,62,17,62,0
"[[3, 5, 0], [4, 8, 6], [7, 2, 1]]",22,91,22,89,0
"[[4, 3, 6], [7, 2, 8], [1, 0, 5]]",15,56,15,56,0
"[[6, 1, 2], [5, 8, 3], [4, 7, 0]]",18,92,18,92,0
"[[4, 6, 7], [3, 2, 8], [1, 0, 5]]",25,113,29,113,-4
"[[2, 7, 6], [8, 0, 3], [5, 4, 1]]",26,130,26,110,0
"[[0, 4, 1], [8, 5, 7], [3, 2, 6]]",24,105,24,105,0
"[[8, 6, 5], [2, 1, 3], [7, 4, 0]]",26,129,30,119,-4
"[[2, 6, 1], [0, 7, 4], [8, 5, 3]]",21,89,21,89,0
"[[0, 7, 1], [5, 6, 2], [4, 8, 3]]",18,86,18,82,0
"[[7, 0, 3], [6, 5, 8], [1, 2, 4]]",23,100,23,100,0
"[[2, 4, 0], [8, 7, 6], [1, 5, 3]]",22,109,22,109,0
